GEOID20,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,HOUSING20,POP20,af_t_f,am_t_f,pm_t_f,NAME,Totalpop,Hisp,NonHisp,OneRacepop,WhiteAlone,BlackAlone,AIANalone,AsianAlone,NHPIalone,OtherRaceAlone,TwoOrMorepop,geometry,percHisp,percNonHisp,percWhite,percBlack
515400002011000,51,540,000201,1000,Block 1000,G5040,U,15724,U,S,137948,0,+38.0425233,-078.4820629,38,84,93.94632396064561,71.76653449702526,87.72892150315852,"Block 1000, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",67,2,65,65,58,7,0,0,0,0,0,"list(c(-78.484059, -78.484044, -78.484043, -78.484032, -78.48401, -78.483999, -78.483985, -78.483963, -78.483887, -78.483497, -78.483221, -78.482943, -78.481233, -78.480846, -78.480291, -78.480202, -78.480116, -78.480053, -78.479981, -78.479933, -78.479849, -78.479783, -78.479756, -78.479702, -78.47958, -78.479453, -78.479332, -78.479202, -78.479101, -78.478988, -78.478927, -78.47874, -78.478677, -78.47849, -78.478427, -78.478481, -78.480634, -78.480718, -78.480873, -78.481158, -78.481473, -78.482439, 
-78.482689, -78.482998, -78.483145, -78.482902, -78.482844, -78.482801, -78.482781, -78.48278, -78.482794, -78.482811, -78.48299, -78.483468, -78.483671, -78.483465, -78.483379, -78.483365, -78.483374, -78.483398, -78.483703, -78.483873, -78.483914, -78.483941, -78.483945, -78.483931, -78.483902, -78.483898, -78.483907, -78.483927, -78.483967, -78.48402, -78.484072, -78.484059, 38.041465, 38.041529, 38.041557, 38.041792, 38.042606, 38.043147, 38.04379, 38.043959, 38.044303, 38.04426, 38.04424, 38.04423, 
38.044205, 38.04419, 38.044153, 38.04416, 38.044182, 38.044209, 38.044252, 38.044295, 38.044394, 38.044495, 38.044555, 38.044843, 38.044864, 38.044899, 38.044947, 38.045016, 38.045081, 38.045172, 38.045232, 38.045481, 38.045564, 38.045334, 38.045266, 38.04519, 38.042197, 38.042081, 38.041866, 38.041471, 38.041048, 38.039756, 38.039413, 38.038976, 38.039076, 38.039233, 38.039287, 38.03935, 38.039404, 38.039441, 38.039486, 38.039511, 38.039662, 38.039969, 38.040087, 38.040302, 38.040383, 38.040421, 
38.040453, 38.04048, 38.040683, 38.040818, 38.040869, 38.040939, 38.040999, 38.041059, 38.041128, 38.041189, 38.041238, 38.041284, 38.041336, 38.04138, 38.041407, 38.041465), c(-78.481908, -78.481887, -78.481867, -78.481838, -78.4818, -78.481755, -78.481689, -78.481574, -78.481448, -78.481348, -78.481288, -78.48124, -78.481207, -78.481192, -78.481237, -78.481341, -78.481566, -78.481677, -78.481731, -78.481793, -78.481836, -78.481878, -78.481901, -78.481908, 38.043155, 38.04274, 38.042686, 38.042647, 
38.042614, 38.042587, 38.042565, 38.042556, 38.042562, 38.042578, 38.042613, 38.042659, 38.042713, 38.042771, 38.043507, 38.043495, 38.043503, 38.0435, 38.043489, 38.043463, 38.043435, 38.04339, 38.043349, 38.043155))",2.99,97.01,86.57,10.45
515400002011001,51,540,000201,1001,Block 1001,G5040,U,15724,U,S,33776,0,+38.0446617,-078.4819820,28,63,93.77661832355838,71.41538494295924,87.45942375379852,"Block 1001, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",47,0,47,47,45,0,0,2,0,0,0,"list(c(-78.483794, -78.483732, -78.483701, -78.483541, -78.482181, -78.481964, -78.481797, -78.48167, -78.480367, -78.480233, -78.479901, -78.479793, -78.479702, -78.479756, -78.479783, -78.479849, -78.479933, -78.479981, -78.480053, -78.480116, -78.480202, -78.480291, -78.480846, -78.481233, -78.482943, -78.483221, -78.483497, -78.483887, -78.483794, 38.044792, 38.045194, 38.045344, 38.045328, 38.045147, 38.045131, 38.045085, 38.045056, 38.044871, 38.044857, 38.044834, 38.044835, 38.044843, 38.044555, 
38.044495, 38.044394, 38.044295, 38.044252, 38.044209, 38.044182, 38.04416, 38.044153, 38.04419, 38.044205, 38.04423, 38.04424, 38.04426, 38.044303, 38.044792))",0,100,95.74,0
515400002011002,51,540,000201,1002,Block 1002,G5040,U,15724,U,S,5700,0,+38.0395887,-078.4833639,5,14,93.59511686626233,72.04189220227693,87.91947174072266,"Block 1002, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",13,3,10,10,3,5,0,1,0,1,0,"list(c(-78.483931, -78.483671, -78.483468, -78.48299, -78.482811, -78.482794, -78.48278, -78.482781, -78.482801, -78.482844, -78.482902, -78.483145, -78.483152, -78.483165, -78.483452, -78.483757, -78.484022, -78.483931, 38.03981, 38.040087, 38.039969, 38.039662, 38.039511, 38.039486, 38.039441, 38.039404, 38.03935, 38.039287, 38.039233, 38.039076, 38.039105, 38.039124, 38.039346, 38.039553, 38.039721, 38.03981))",23.08,76.92,23.08,38.46
515400002011003,51,540,000201,1003,Block 1003,G5040,U,15724,U,S,5953,0,+38.0430364,-078.4815497,10,24,94.19106846470987,72.01558131556357,87.78929088961694,"Block 1003, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",18,4,14,14,12,0,0,2,0,0,0,"list(c(-78.481901, -78.481878, -78.481836, -78.481793, -78.481731, -78.481677, -78.481566, -78.481341, -78.481237, -78.481192, -78.481207, -78.48124, -78.481288, -78.481348, -78.481448, -78.481574, -78.481689, -78.481755, -78.4818, -78.481838, -78.481867, -78.481887, -78.481908, -78.481901, 38.043349, 38.04339, 38.043435, 38.043463, 38.043489, 38.0435, 38.043503, 38.043495, 38.043507, 38.042771, 38.042713, 38.042659, 38.042613, 38.042578, 38.042562, 38.042556, 38.042565, 38.042587, 38.042614, 38.042647, 
38.042686, 38.04274, 38.043155, 38.043349))",22.22,77.78,66.67,0
515400002011004,51,540,000201,1004,Block 1004,G5040,U,15724,U,S,57623,0,+38.0435811,-078.4856108,43,107,93.59490024342256,71.49755406627193,87.01899927792665,"Block 1004, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",86,10,76,73,65,8,0,0,0,0,3,"list(c(-78.48748, -78.486266, -78.485205, -78.483887, -78.483963, -78.483985, -78.483999, -78.48401, -78.484273, -78.48519, -78.486052, -78.486538, -78.486878, -78.487175, -78.487103, -78.487026, -78.487016, -78.487017, -78.487031, -78.487054, -78.487117, -78.487158, -78.48724, -78.487317, -78.487409, -78.48748, 38.044708, 38.044572, 38.044459, 38.044303, 38.043959, 38.04379, 38.043147, 38.042606, 38.042621, 38.042624, 38.042625, 38.042619, 38.042631, 38.042653, 38.043002, 38.043438, 38.043567, 38.043618, 
38.043748, 38.04385, 38.044044, 38.044143, 38.044305, 38.044431, 38.04457, 38.044708))",11.63,88.37,75.58,9.3
515400002011005,51,540,000201,1005,Block 1005,G5040,U,15724,U,S,38722,0,+38.0450398,-078.4856930,22,49,93.56945934148558,71.27818714132039,86.71167790430064,"Block 1005, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",45,0,45,44,40,1,0,3,0,0,1,"list(c(-78.48767, -78.487009, -78.485673, -78.484536, -78.483701, -78.483732, -78.483794, -78.483887, -78.485205, -78.486266, -78.48748, -78.487531, -78.487565, -78.487659, -78.48767, 38.045775, 38.045701, 38.045549, 38.045424, 38.045344, 38.045194, 38.044792, 38.044303, 38.044459, 38.044572, 38.044708, 38.044845, 38.044988, 38.045648, 38.045775))",0,100,88.89,2.22
515400002011006,51,540,000201,1006,Block 1006,G5040,U,15724,U,S,24298,0,+38.0453667,-078.4887869,17,40,92.69425568639984,70.96498376996685,85.86183983260665,"Block 1006, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",35,0,35,35,27,3,0,4,0,1,0,"list(c(-78.490026, -78.490015, -78.489937, -78.489914, -78.489923, -78.489931, -78.489159, -78.488485, -78.48767, -78.487659, -78.487565, -78.487531, -78.48748, -78.48944, -78.49002, -78.490026, 38.045129, 38.045289, 38.045722, 38.045903, 38.046001, 38.046034, 38.045947, 38.045866, 38.045775, 38.045648, 38.044988, 38.044845, 38.044708, 38.044927, 38.044987, 38.045129))",0,100,77.14,8.57
515400002011007,51,540,000201,1007,Block 1007,G5040,U,15724,U,S,186203,0,+38.0436729,-078.4904681,148,388,93.010512907573,71.28400320183404,86.51394638956202,"Block 1007, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",299,18,281,268,205,56,0,6,0,1,13,"list(c(-78.493136, -78.492673, -78.492393, -78.490879, -78.490161, -78.489931, -78.489923, -78.489914, -78.489937, -78.490015, -78.490026, -78.49002, -78.489985, -78.489939, -78.489907, -78.489883, -78.489839, -78.489782, -78.489714, -78.489639, -78.489304, -78.48876, -78.487407, -78.487017, -78.487016, -78.487026, -78.487103, -78.487175, -78.486878, -78.486538, -78.486532, -78.486543, -78.486692, -78.487468, -78.488089, -78.488463, -78.490116, -78.49029, -78.490393, -78.490858, -78.490855, -78.491215, 
-78.491512, -78.491698, -78.491895, -78.492174, -78.492187, -78.492211, -78.492346, -78.492456, -78.492559, -78.492774, -78.492907, -78.492968, -78.492991, -78.493026, -78.493044, -78.493069, -78.493085, -78.493097, -78.493136, 38.046377, 38.046364, 38.046344, 38.046165, 38.046062, 38.046034, 38.046001, 38.045903, 38.045722, 38.045289, 38.045129, 38.044987, 38.044567, 38.044261, 38.044114, 38.044068, 38.044015, 38.043972, 38.043939, 38.043919, 38.043884, 38.043827, 38.043661, 38.043618, 38.043567, 
38.043438, 38.043002, 38.042653, 38.042631, 38.042619, 38.042521, 38.042354, 38.041621, 38.041718, 38.04179, 38.041826, 38.042029, 38.041736, 38.041728, 38.041689, 38.041637, 38.041631, 38.041634, 38.041645, 38.041669, 38.041686, 38.041761, 38.041881, 38.042265, 38.042549, 38.04278, 38.04325, 38.043564, 38.043769, 38.043863, 38.044055, 38.044279, 38.04488, 38.045473, 38.045725, 38.046377))",6.02,93.98,68.56,18.73
515400002011008,51,540,000201,1008,Block 1008,G5040,U,15724,U,S,27651,0,+38.0443048,-078.4885681,14,31,93.16923110032167,71.07959657074302,86.34382569234431,"Block 1008, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",28,1,27,25,22,0,0,3,0,0,2,"list(c(-78.49002, -78.48944, -78.48748, -78.487409, -78.487317, -78.48724, -78.487158, -78.487117, -78.487054, -78.487031, -78.487017, -78.487407, -78.48876, -78.489304, -78.489639, -78.489714, -78.489782, -78.489839, -78.489883, -78.489907, -78.489939, -78.489985, -78.49002, 38.044987, 38.044927, 38.044708, 38.04457, 38.044431, 38.044305, 38.044143, 38.044044, 38.04385, 38.043748, 38.043618, 38.043661, 38.043827, 38.043884, 38.043919, 38.043939, 38.043972, 38.044015, 38.044068, 38.044114, 38.044261, 
38.044567, 38.044987))",3.57,96.43,78.57,0
515400002011009,51,540,000201,1009,Block 1009,G5040,U,15724,U,S,29084,0,+38.0420347,-078.4852599,26,84,93.93092539503768,71.64819232837574,87.49070564476219,"Block 1009, Block Group 1, Census Tract 2.01, Charlottesville city, Virginia",50,0,50,44,40,0,0,4,0,0,6,"list(c(-78.486543, -78.486532, -78.486538, -78.486052, -78.48519, -78.484273, -78.48401, -78.484032, -78.484043, -78.484044, -78.484059, -78.484072, -78.48411, -78.484304, -78.484715, -78.485102, -78.485691, -78.485777, -78.486692, -78.486543, 38.042354, 38.042521, 38.042619, 38.042625, 38.042624, 38.042621, 38.042606, 38.041792, 38.041557, 38.041529, 38.041465, 38.041407, 38.041305, 38.041333, 38.041391, 38.041435, 38.041502, 38.041512, 38.041621, 38.042354))",0,100,80,0
